10,10,400
false,Rx5x2,35,ladRoad
false,Rx5x4,35,ladRoad
false,Rx5x6,35,ladRoad
false,Rx5x8,35,ladRoad
false,Rx5x10,35,ladRoad
false,Rx5x12,35,ladRoad
false,Rx5x14,35,ladRoad
false,Rx5x16,35,ladRoad
false,Rx5x18,35,ladRoad
true,Ix6x0,0,intersection
false,Rx6x1,35,latRoad
true,Ix6x2,0,intersection
false,Rx6x3,35,latRoad
true,Ix6x4,0,intersection
false,Rx6x5,35,latRoad
true,Ix6x6,0,intersection
false,Rx6x7,35,latRoad
true,Ix6x8,0,intersection
false,Rx6x9,35,latRoad
true,Ix6x10,0,intersection
false,Rx6x11,35,latRoad
true,Ix6x12,0,intersection
false,Rx6x13,35,latRoad
true,Ix6x14,0,intersection
false,Rx6x15,35,latRoad
true,Ix6x16,0,intersection
false,Rx6x17,35,latRoad
true,Ix6x18,0,intersection
false,Rx7x0,35,ladRoad
false,Rx7x2,35,ladRoad
false,Rx7x4,35,ladRoad
false,Rx7x6,35,ladRoad
false,Rx7x8,35,ladRoad
false,Rx7x10,35,ladRoad
false,Rx7x12,35,ladRoad
false,Rx7x14,35,ladRoad
false,Rx7x16,35,ladRoad
false,Rx7x18,35,ladRoad
true,Ix8x0,0,intersection
false,Rx8x1,35,latRoad
true,Ix8x2,0,intersection
false,Rx8x3,35,latRoad
true,Ix8x4,0,intersection
false,Rx8x5,35,latRoad
true,Ix8x6,0,intersection
false,Rx8x7,35,latRoad
true,Ix8x8,0,intersection
false,Rx8x9,35,latRoad
true,Ix8x10,0,intersection
false,Rx8x11,35,latRoad
true,Ix8x12,0,intersection
false,Rx8x13,35,latRoad
true,Ix8x14,0,intersection
false,Rx8x15,35,latRoad
true,Ix8x16,0,intersection
false,Rx8x17,35,latRoad
true,Ix8x18,0,intersection
false,Rx9x0,35,ladRoad
false,Rx9x2,35,ladRoad
false,Rx9x4,35,ladRoad
false,Rx9x6,35,ladRoad
false,Rx9x8,35,ladRoad
false,Rx9x10,35,ladRoad
false,Rx9x12,35,ladRoad
false,Rx9x14,35,ladRoad
false,Rx9x16,35,ladRoad
false,Rx9x18,35,ladRoad
true,Ix10x0,0,intersection
false,Rx10x1,35,latRoad
true,Ix10x2,0,intersection
false,Rx10x3,35,latRoad
true,Ix10x4,0,intersection
false,Rx10x5,35,latRoad
true,Ix10x6,0,intersection
false,Rx10x7,35,latRoad
true,Ix10x8,0,intersection
false,Rx10x9,35,latRoad
true,Ix10x10,0,intersection
false,Rx10x11,35,latRoad
true,Ix10x12,0,intersection
false,Rx10x13,35,latRoad
true,Ix10x14,0,intersection
false,Rx10x15,35,latRoad
true,Ix10x16,0,intersection
false,Rx10x17,35,latRoad
true,Ix10x18,0,intersection
false,Rx11x0,35,ladRoad
false,Rx11x2,35,ladRoad
false,Rx11x4,35,ladRoad
false,Rx11x6,35,ladRoad
false,Rx11x8,35,ladRoad
false,Rx11x10,35,ladRoad
false,Rx11x12,35,ladRoad
false,Rx11x14,35,ladRoad
false,Rx11x16,35,ladRoad
false,Rx11x18,35,ladRoad
true,Ix12x0,0,intersection
false,Rx12x1,35,latRoad
true,Ix12x2,0,intersection
false,Rx12x3,35,latRoad
true,Ix12x4,0,intersection
false,Rx12x5,35,latRoad
true,Ix12x6,0,intersection
false,Rx12x7,35,latRoad
true,Ix12x8,0,intersection
false,Rx12x9,35,latRoad
true,Ix12x10,0,intersection
false,Rx12x11,35,latRoad
true,Ix12x12,0,intersection
false,Rx12x13,35,latRoad
true,Ix12x14,0,intersection
false,Rx12x15,35,latRoad
true,Ix12x16,0,intersection
false,Rx12x17,35,latRoad
true,Ix12x18,0,intersection
false,Rx13x0,35,ladRoad
false,Rx13x2,35,ladRoad
false,Rx13x4,35,ladRoad
false,Rx13x6,35,ladRoad
false,Rx13x8,35,ladRoad
false,Rx13x10,35,ladRoad
false,Rx13x12,35,ladRoad
false,Rx13x14,35,ladRoad
false,Rx13x16,35,ladRoad
false,Rx13x18,35,ladRoad
true,Ix14x0,0,intersection
false,Rx14x1,35,latRoad
true,Ix14x2,0,intersection
false,Rx14x3,35,latRoad
true,Ix14x4,0,intersection
false,Rx14x5,35,latRoad
true,Ix14x6,0,intersection
false,Rx14x7,35,latRoad
true,Ix14x8,0,intersection
false,Rx14x9,35,latRoad
true,Ix14x10,0,intersection
false,Rx14x11,35,latRoad
true,Ix14x12,0,intersection
false,Rx14x13,35,latRoad
true,Ix14x14,0,intersection
false,Rx14x15,35,latRoad
true,Ix14x16,0,intersection
false,Rx14x17,35,latRoad
true,Ix14x18,0,intersection
false,Rx15x0,35,ladRoad
false,Rx15x2,35,ladRoad
false,Rx15x4,35,ladRoad
false,Rx15x6,35,ladRoad
false,Rx15x8,35,ladRoad
false,Rx15x10,35,ladRoad
false,Rx15x12,35,ladRoad
false,Rx15x14,35,ladRoad
false,Rx15x16,35,ladRoad
false,Rx15x18,35,ladRoad
true,Ix16x0,0,intersection
false,Rx16x1,35,latRoad
true,Ix16x2,0,intersection
false,Rx16x3,35,latRoad
true,Ix16x4,0,intersection
false,Rx16x5,35,latRoad
true,Ix16x6,0,intersection
false,Rx16x7,35,latRoad
true,Ix16x8,0,intersection
false,Rx16x9,35,latRoad
true,Ix16x10,0,intersection
false,Rx16x11,35,latRoad
true,Ix16x12,0,intersection
false,Rx16x13,35,latRoad
true,Ix16x14,0,intersection
false,Rx16x15,35,latRoad
true,Ix16x16,0,intersection
false,Rx16x17,35,latRoad
true,Ix16x18,0,intersection
false,Rx17x0,35,ladRoad
false,Rx17x2,35,ladRoad
false,Rx17x4,35,ladRoad
false,Rx17x6,35,ladRoad
false,Rx17x8,35,ladRoad
false,Rx17x10,35,ladRoad
false,Rx17x12,35,ladRoad
false,Rx17x14,35,ladRoad
false,Rx17x16,35,ladRoad
false,Rx17x18,35,ladRoad
true,Ix18x0,0,intersection
false,Rx18x1,40,latRoad
true,Ix18x2,0,intersection
false,Rx18x3,40,latRoad
true,Ix18x4,0,intersection
false,Rx18x5,40,latRoad
true,Ix18x6,0,intersection
false,Rx18x7,40,latRoad
true,Ix18x8,0,intersection
false,Rx18x9,40,latRoad
true,Ix18x10,0,intersection
false,Rx18x11,40,latRoad
true,Ix18x12,0,intersection
false,Rx18x13,40,latRoad
true,Ix18x14,0,intersection
false,Rx18x15,40,latRoad
true,Ix18x16,0,intersection
false,Rx18x17,40,latRoad
true,Ix18x18,0,intersection
